日期,主队,客队,主队进球,客队进球,比分,参考盘口,实际盘口,预测结果,先进球方,sb_λ_主队初,sb_λ_主队终,sb_λ_客队初,sb_λ_客队终,xl_λ_主队初,xl_λ_主队终,xl_λ_客队初,xl_λ_客队终,odds_fingerprint
2026-6-10,中國,泰國,0,0,0:00,-0.25,-0.5,1:01,无进球,1.5516944967580748,1.3726441745577949,1.0417179791646956,0.8564744847866442,1.5722137868208457,1.4348236178639346,0.8954680047444022,0.9266332546708788,954ca345f9a1cb436a01dfa2fa07f5f1
2026-6-10,邦迪比達,保地花高sp,0,0,0:00,0.25,0.25,0:01,无进球,1.15153310986015,0.926870504779707,1.0536072949497386,1.2206950714029874,1.0673088764386385,0.9074898779882415,1.0728959597534224,1.2329542353930805,eab6e38f76d1dfdfdd9ae44630366567
2026-6-10,邦迪比達,隆德里納,1,4,1:04,0.0,-0.25,1:00,客队,1.341187170692554,1.1914608742846118,1.0028662681656049,0.9786873538636782,1.3027444179887908,1.1654458897152171,0.9734093262631444,0.9532046697928034,fdad9e627588cb349bbffcf6e275a711
2026-6-10,邦迪比達,利斯菲體育會,1,3,1:03,0.0,0.25,1:01,主队,1.23509308997744,1.0316816053366518,1.1643602985807735,1.2396619121893209,1.0755220030426638,0.99111112265289,1.1132173778445045,1.2151571798797758,50be97f90411e382840e315c497c2573
2026-6-10,邦迪比達,阿美利加明尼路,1,0,1:00,0.0,0.0,1:01,主队,1.2035478385699456,1.050962156150315,1.1705679325700686,1.1573307325415223,1.1662502318547423,0.9868239931663588,1.1864413432158551,1.060566412101518,f4a166268e45ccdf4daf3392208761aa
2026-6-10,邦迪比達,維拉諾瓦,0,1,0:01,0.0,0.0,1:01,客队,1.1437295047576623,1.0881047578244245,1.1437295043521811,1.1839345767507157,1.1104146790418568,1.0701335588133918,1.1104146787876763,1.1733245595325938,9b4d720dc1e2302f8bd6cb2e793176f2
2026-6-10,紐迪高,古亞巴,1,0,1:00,-0.25,-0.5,1:01,主队,1.3841914035079708,1.344806357926521,0.8260408910355871,0.7560201284794762,1.3183667639634613,1.3223995629804204,0.7978896119197768,0.7681628225942504,b07a2e8800bd122bc2386dc5e2976944
2026-6-10,競技會mg,古亞巴,0,0,0:00,0.0,0.0,0:00,无进球,1.1598468754822664,0.9785644801197384,1.0039102159505495,0.9290030064215212,1.1107945142922648,0.9891724320608364,0.9744494083412456,0.911355851156029,d3b48e28489256ae5b8e8d940fd4990c
2026-6-10,戈亞斯,古亞巴,0,2,0:02,-0.25,-0.5,1:00,客队,1.6831532141196626,1.3439083557120466,0.8365805861671852,0.7391857042193556,1.485759073773135,1.3607331673302636,0.7831790376444572,0.7208165672623975,931393d30f066b97ac63ef92ba186e8b
2026-6-10,歐帕爾利奧,古亞巴,0,0,0:00,-0.25,-0.5,1:00,无进球,1.3464142729370254,1.3792662707406351,0.8329755848583127,0.7562035648394159,1.3095630490755636,1.3555797789095754,0.7986725561333192,0.7584085095598818,8d438125d05bad8145e513e47fb46a1c
2026-6-10,科泰尼沙,古亞巴,0,0,0:00,-0.5,-0.75,1:00,无进球,1.564625932040407,1.5903306754504836,0.767484945335087,0.6834286764012317,1.536953578004176,1.5373147768077409,0.728013740013399,0.6656106285176874,1ee4cd9c8a334a7dc231415da4cfe1f6
2026-6-10,邦迪比達,古亞巴,1,2,1:02,0.0,0.25,1:00,客队,0.9092574711773592,0.8366152823313207,1.0423952049589078,1.0483190162299507,0.8756244969632413,0.8243380933755245,1.0256223862522629,1.065691621446081,7cd137bed36a3707baad2a5a591d33a6
